Gene,Coefficient,Abs_Coefficient
ENSG00000189280,-0.03343344026982188,0.03343344026982188
ENSG00000129596,-0.03340671942336167,0.03340671942336167
ENSG00000165716,-0.03338540934348916,0.03338540934348916
ENSG00000215218,-0.033378896462302264,0.033378896462302264
ENSG00000221938,-0.03331842310886739,0.03331842310886739
ENSG00000067048,0.03331422981775912,0.03331422981775912
ENSG00000134538,0.033273944884707876,0.033273944884707876
ENSG00000261308,0.03327072198456933,0.03327072198456933
ENSG00000212935,-0.03319966812551115,0.03319966812551115
ENSG00000100739,-0.033189060408169296,0.033189060408169296
ENSG00000105507,0.03313296501240695,0.03313296501240695
ENSG00000174948,-0.03310457529239952,0.03310457529239952
ENSG00000181939,-0.03298571228758976,0.03298571228758976
ENSG00000205494,-0.03290540798361247,0.03290540798361247
ENSG00000138136,0.03277887582576627,0.03277887582576627
ENSG00000136697,0.03269378005870619,0.03269378005870619
ENSG00000154165,-0.03267265051088881,0.03267265051088881
ENSG00000133121,0.03255860204941348,0.03255860204941348
ENSG00000168878,0.03253670947231302,0.03253670947231302
ENSG00000186446,-0.03250652309475922,0.03250652309475922
ENSG00000211745,0.03248903939412169,0.03248903939412169
ENSG00000110975,0.03248698334618841,0.03248698334618841
ENSG00000145949,-0.03242670122365951,0.03242670122365951
ENSG00000052850,-0.03241938716868792,0.03241938716868792
ENSG00000158748,0.03232918249798023,0.03232918249798023
ENSG00000163288,-0.032303363518720506,0.032303363518720506
ENSG00000260097,-0.032211409284148604,0.032211409284148604
ENSG00000159217,0.03217009638175366,0.03217009638175366
ENSG00000162728,0.03216206235932169,0.03216206235932169
ENSG00000204873,-0.03211481236403286,0.03211481236403286
ENSG00000205883,0.03210994801224875,0.03210994801224875
ENSG00000126733,0.03204481892863019,0.03204481892863019
ENSG00000185962,-0.031975627326099494,0.031975627326099494
ENSG00000100206,0.03195783327046638,0.03195783327046638
ENSG00000138161,0.031941868368331267,0.031941868368331267
ENSG00000171942,-0.03192962026701553,0.03192962026701553
ENSG00000120160,-0.03190010893357394,0.03190010893357394
ENSG00000016490,0.03177948744950549,0.03177948744950549
ENSG00000140986,0.031776255815177644,0.031776255815177644
ENSG00000230549,0.03171431373694195,0.03171431373694195
ENSG00000171954,0.031649566471873884,0.031649566471873884
ENSG00000188517,0.03144396318448548,0.03144396318448548
ENSG00000213022,0.03144145836533081,0.03144145836533081
ENSG00000186970,-0.0313865707465429,0.0313865707465429
ENSG00000186925,0.03137620682425398,0.03137620682425398
ENSG00000168143,0.03136679731789865,0.03136679731789865
ENSG00000141968,0.031323641125213825,0.031323641125213825
ENSG00000105499,-0.031306089772174646,0.031306089772174646
ENSG00000143520,-0.031193098691096575,0.031193098691096575
ENSG00000196171,-0.031177441632995906,0.031177441632995906
ENSG00000261603,-0.03117419712162562,0.03117419712162562
ENSG00000212657,-0.031169018769802437,0.031169018769802437
ENSG00000255009,-0.031161377555399942,0.031161377555399942
ENSG00000169507,-0.031157090089980667,0.031157090089980667
ENSG00000105509,0.031129972690834642,0.031129972690834642
ENSG00000233822,0.031102969105063417,0.031102969105063417
ENSG00000137252,0.031101878714259613,0.031101878714259613
ENSG00000204610,-0.031013363162430703,0.031013363162430703
ENSG00000186980,0.030996460983037908,0.030996460983037908
ENSG00000140274,-0.030948470128956886,0.030948470128956886
ENSG00000162722,0.030891899858012658,0.030891899858012658
ENSG00000275896,-0.030842433271870563,0.030842433271870563
ENSG00000203782,-0.030830238344229544,0.030830238344229544
ENSG00000269565,-0.03081640492976774,0.03081640492976774
ENSG00000106128,-0.030810710205853614,0.030810710205853614
ENSG00000070729,0.030798269214696364,0.030798269214696364
ENSG00000129159,-0.030777776926076215,0.030777776926076215
ENSG00000007350,0.03072865973991237,0.03072865973991237
ENSG00000082512,-0.030712857153509725,0.030712857153509725
ENSG00000243444,-0.0306974049576207,0.0306974049576207
ENSG00000125255,-0.030657097727637413,0.030657097727637413
ENSG00000055732,-0.030476128722683384,0.030476128722683384
ENSG00000061455,0.03047450881686988,0.03047450881686988
ENSG00000075388,0.030459823527550466,0.030459823527550466
ENSG00000184838,0.030415154380181157,0.030415154380181157
ENSG00000108309,0.030382239520475956,0.030382239520475956
ENSG00000144488,-0.030356734113390984,0.030356734113390984
ENSG00000133056,-0.030351397274732298,0.030351397274732298
ENSG00000168530,0.03030755952993754,0.03030755952993754
ENSG00000007372,0.030297743585266147,0.030297743585266147
ENSG00000164935,-0.030280844753718075,0.030280844753718075
ENSG00000205846,-0.030273058465535945,0.030273058465535945
ENSG00000178358,0.030250557676734395,0.030250557676734395
ENSG00000132554,-0.030243308982510323,0.030243308982510323
ENSG00000185040,-0.03022005155096397,0.03022005155096397
